Long., Lat., Transv. Pred., Normal Pred., Capacity, Equiv. Dip, Transv. Trac., Normal Trac., Friction
164.115,-48.918,18.371,-14.3703,8.3436799892573E-17,12.532,7.00855,-5.68387,0.044631446313503
164.228,-48.73,19.7163,-14.5352,8.19462308002096E-17,0,7.63214,-5.69483,9.83642403937455E-07
164.325,-48.525,19.3989,-17.3102,8.02255863316979E-17,0,7.65639,-6.83202,1.05386896581118E-06
164.409,-48.303,19.4466,-19.4046,7.88642244094952E-17,0,7.78057,-7.76375,1.12426401407481E-06
164.493,-48.082,19.5337,-19.944,7.88576171278245E-17,0,7.83195,-7.99647,1.14383772800415E-06
164.576,-47.86,19.5486,-20.3787,7.95621992466944E-17,0,7.77896,-8.10928,1.14780660582493E-06
164.66,-47.639,19.8706,-20.5707,8.05568858690788E-17,0,7.82045,-8.09599,1.14979253552806E-06
164.748,-47.421,20.6014,-20.2556,8.14010389673524E-17,0,8.02746,-7.89269,1.15091712426466E-06
164.842,-47.206,21.7132,-20.3298,8.1951958854424E-17,0,8.4025,-7.86717,1.17689273103543E-06
164.935,-46.992,22.9742,-20.7921,8.22492661400086E-17,0,8.85776,-8.01644,1.22068332601751E-06
165.028,-46.777,23.3234,-21.0196,8.23130437817656E-17,0,8.97404,-8.08761,1.234059842508E-06
165.115,-46.554,21.9595,-21.6852,8.25539610600299E-17,0,8.41065,-8.30563,1.20649180754771E-06
165.196,-46.322,19.5203,-16.9944,8.35194451069943E-17,0,7.417,-6.48949,1.01383156652244E-06
165.314,-46.155,23.3511,-7.7748,8.41573015924031E-17,9.232,8.68861,-3.05017,0.039854640497343
165.469,-46.053,29.7848,-3.6662,8.89759378248517E-17,23.137,10.5802,-1.60939,0.097608657342281
165.641,-45.945,31.2847,-3.2219,9.42785387445282E-17,38.491,10.52575,-1.90574,0.130349227586489
165.832,-45.831,31.5189,-2.6425,9.87624614408401E-17,59.771,10.2292,-2.52142,0.148324259586061
164.431,-49.079,-1.8243,0.0656,4.46643629097419E-17,79.539,-1.3123,1.75915,0.022508076297961
164.57,-48.913,9.6048,-0.0686,4.16593725663133E-17,88.137,7.24173,-4.56553,0.099841038736901
164.702,-48.786,8.7545,-0.059,3.95771497754166E-17,87.436,7.00396,-9.40441,0.080495904486688
164.82,-48.64,8.3804,-0.2683,3.77520163803507E-17,83.013,7.01562,-17.59533,0.069604148068648
164.924,-48.476,8.0723,-0.3936,3.64614358320154E-17,82.02,6.95855,-20.53759,0.067757966719403
165.028,-48.312,7.9808,-0.3212,3.63685274255248E-17,83.508,6.80988,-15.11477,0.069940172319133
165.132,-48.148,7.1302,-0.4668,3.93524765515747E-17,80.548,5.67712,-11.29246,0.064716880655209
165.192,-47.952,5.9168,-1.3633,4.35934572021002E-17,76.214,4.40527,-19.42488,0.058271611287599
165.21,-47.723,5.5501,-2.1692,4.31767636621781E-17,75.499,4.04796,-25.86016,0.063094495790456
165.227,-47.494,5.2238,-1.9182,4.38464512346757E-17,75.516,3.73891,-21.88776,0.058033524099193
165.225,-47.258,2.0798,-0.6265,4.61528284344529E-17,75.455,1.44564,-6.52537,0.0271813537262
165.204,-47.015,-0.3468,0.1653,4.6131763626641E-17,73.78,-0.4763,3.21819,0.014765097236475
165.644,-46.93,-0.023,0.0094,2.7963395088121E-17,87.683,-0.05482,4.93711,0.002779417828695
165.687,-46.802,0.1425,-0.0681,2.52011305914763E-17,84.953,0.13789,-13.38061,0.012266748346564
165.723,-46.675,0.2495,-0.1574,5.28289890655494E-17,86.39,0.10091,-23.60485,0.012825606935768
165.753,-46.551,0.0748,-0.0733,1.86182769383911E-16,87.977,0.0004,-13.88645,0.00502406433867
165.815,-46.387,-0.0092,0.0066,1.8164975559401E-14,89.907,-5E-05,3.66073,8.59590695450315E-05
166.02,-45.714,29.7347,-1.902,1.0359857202157E-16,64.564,9.13191,-3.75983,0.126228936672435
166.205,-45.596,29.6799,-1.7482,1.01938296485723E-16,75.037,9.21724,-6.06098,0.118312451848993
166.383,-45.474,29.6786,-1.9143,1.00679979049696E-16,78.717,9.33736,-13.51109,0.099527358883133
166.555,-45.349,29.7343,-2.2066,9.95889943461245E-17,79.282,9.47703,-18.29471,0.09401569672555
166.728,-45.224,29.6708,-2.3786,9.78403317221808E-17,77.552,9.556,-15.45536,0.099459561268475
166.898,-45.1,29.5676,-2.3862,9.83030229338015E-17,74.527,9.61711,-12.39183,0.106232438227139
167.083,-44.973,29.4644,-2.0135,9.5453327184587E-17,75.527,9.93434,-10.63551,0.112439787882084
167.235,-44.869,28.6589,-2.0503,8.33066433978769E-17,76.114,10.64711,-12.86198,0.114893240388256
167.331,-44.798,27.8585,-1.2311,7.49460470873574E-17,76.199,11.33665,-11.44852,0.125027320085629
167.457,-44.723,29.5124,-0.0548,7.72395672127317E-17,83.56,12.00682,-1.00474,0.22356654428412
167.613,-44.642,31.5544,-0.1704,8.17877995527765E-17,82.424,12.34367,-4.37977,0.171222619326143
167.774,-44.554,31.947,-0.3895,8.32464761168736E-17,83.25,12.23242,-9.33582,0.140803886383425
167.955,-44.456,31.976,-0.5261,8.26797173833629E-17,82.084,12.26481,-10.59612,0.136531973698413
168.144,-44.353,31.974,-0.5781,8.18899045621447E-17,81.038,12.37895,-8.84088,0.144581494332143
168.317,-44.262,32.1406,-0.5496,8.08313133742568E-17,79.205,12.57898,-4.75492,0.170598291922825
168.474,-44.182,32.2365,-0.7243,8.02099029700261E-17,72.716,12.73527,-2.88073,0.18980896867352
168.63,-44.102,32.3164,-0.6701,7.96038362372627E-17,64.395,12.80764,-1.93311,0.19953788369299
168.82,-44.012,32.8348,-0.3523,8.03032334432093E-17,71.38,12.93735,-1.28864,0.223689861258411
169.044,-43.91,33.3112,-0.4914,8.13815697186451E-17,76.424,13.0152,-2.53806,0.200971150816059
169.268,-43.809,33.4181,-0.8879,8.13526626621021E-17,72.46,13.01076,-3.98657,0.181050241419531
169.491,-43.707,33.4686,-1.2549,8.14848293688048E-17,70.626,13.01442,-4.37321,0.176684096219078
169.715,-43.606,33.5617,-1.6992,8.16501757207876E-17,68.418,13.03094,-4.29381,0.176430892634173
169.938,-43.504,33.5143,-2.7144,8.16788526980803E-17,61.087,13.00321,-4.75879,0.167755134377163
170.149,-43.403,33.6163,-4.237,8.16912237307788E-17,57.767,13.03826,-6.15161,0.158145379871708
170.346,-43.302,33.9336,-5.1541,8.17517750757721E-17,58.821,13.15388,-7.50216,0.154825306044142
170.544,-43.2,34.0287,-5.3986,8.18024469462147E-17,60.347,13.17551,-8.40514,0.152844013477713
170.739,-43.1,34.0468,-5.5918,8.20214850812046E-17,60.857,13.14648,-9.04656,0.15091929238362
170.919,-43.008,34.0471,-5.7812,8.2460112782193E-17,60.975,13.09108,-9.36773,0.149573109858642
171.075,-42.928,34.0162,-5.9104,8.27772988553596E-17,60.565,13.03558,-9.44215,0.148755120738143
165.946,-45.705,0.4796,-2.1922,6.95170880388216E-18,33.227,2.02402,-11.85547,0.080921340853705
165.982,-45.568,0.5751,-2.0179,9.18272275403027E-18,11.05,2.00789,-7.8234,0.034647731417298
166.035,-45.435,0.7993,-1.8713,1.09926111021876E-17,16.147,2.42504,-5.98459,0.0368236007573
166.101,-45.31,0.8934,-1.7283,1.06038903529898E-17,5,2.67294,-5.31057,0.015079637980654
166.183,-45.218,1.1305,-1.55,1.00717188451534E-17,5,3.64822,-5.04057,0.015882903890873
166.275,-45.16,1.1354,-1.556,8.29119738928931E-18,5,4.11784,-5.68664,0.017681219981657
166.347,-45.11,0.8226,-1.5441,8.1187080516094E-18,5,3.22509,-6.10043,0.017231761425502
166.407,-45.063,0.7384,-1.3872,7.77617673573308E-18,5,3.03277,-5.74152,0.016326714117322
166.485,-44.997,0.6494,-1.1806,7.31224815544472E-18,5,3.34849,-6.13401,0.017441332386563
166.584,-44.911,0.4293,-0.8182,2.37725057902031E-18,5,4.40937,-8.46804,0.022952120218565
166.667,-44.826,0.1826,-0.4252,1.43909011629441E-19,7.526,6.15029,-14.72395,0.048132102255547
166.742,-44.734,0.1459,-0.1827,8.26080138688026E-19,16.937,2.48063,-4.07331,0.029840171809758
166.856,-44.631,0.0874,-0.0422,5.11640029943107E-18,32.363,0.72947,-0.49862,0.011299047109344
166.98,-44.542,-0.0137,0.0035,3.35890050854905E-18,37.966,-0.19757,0.07363,0.003850836171215
166.445,-45.26,-0.0045,0.0251,3.12934768544348E-17,42.667,-0.00872,0.09173,0.001338894259098
166.496,-45.187,0.0545,-0.1323,3.50699113619303E-17,44.613,0.05794,-0.2595,0.003456160607424
166.56,-45.116,0.1417,-0.3265,1.9556158212802E-17,36.175,0.21944,-0.7953,0.009169306845749
166.642,-45.04,0.0705,-0.1453,9.40834660440494E-18,5,0.18276,-0.4445,0.001557072424947
166.726,-44.964,-0.0122,0.0238,1.05890551504527E-17,13.165,-0.07761,0.15577,0.001336575856906
167.233,-46.079,0.102,-0.1101,3.30939707294851E-19,52.862,10.08239,-29.19332,0.151362783110771
167.082,-46.163,0.106,-0.0836,2.93108871375999E-19,50.904,11.69937,-23.50121,0.149326896658865
166.913,-46.258,0.124,-0.1198,2.36305312073123E-19,50,11.77848,-27.75175,0.159721466180029
166.757,-46.359,0.0622,-0.0709,5.79445780887855E-19,50,4.68476,-12.94075,0.088907563900038
166.616,-46.464,-0.0081,0.0128,2.96463420253006E-19,50,-1.17048,4.48942,0.036994119233766
167.094,-44.573,-0.0044,0.0023,5.64249679001472E-18,40,-0.10843,0.09353,0.002450140669009
167.16,-44.499,0.0355,0.0004,8.79835513780257E-21,40,0.85444,0.01598,0.019281524618016
167.235,-44.437,0.078,0.0051,5.8181773554205E-20,40,8.2748,0.92541,0.116579815074377
167.312,-44.394,0.0291,0.0034,1.10957461403651E-18,40,0.36981,0.09419,0.007097932332972
167.394,-44.326,-0.009,-0.0036,6.3519862809146E-18,49.155,-0.12974,-0.11626,0.003134666394987
167.362,-44.514,-0.0246,0.0236,4.37598961354439E-18,10,-0.29877,0.29495,0.002469568451387
167.475,-44.426,0.1621,-0.1011,6.10715527903176E-18,10,1.03131,-0.66337,0.006673918169071
167.586,-44.351,0.3838,-0.2525,3.15559024403128E-18,10,3.26727,-2.21587,0.018790937708798
167.716,-44.278,0.3836,-0.2559,2.37616838213829E-18,10,4.52207,-3.11065,0.025071885519967
167.877,-44.186,0.3521,-0.2343,2.90536504581272E-18,10,4.28732,-2.94229,0.023916252444883
168.035,-44.097,0.2968,-0.1794,2.08989759367296E-18,10,4.54112,-2.82946,0.024742496930287
168.178,-44.019,0.2514,-0.1025,1.11314486217621E-18,10,6.5365,-2.74679,0.032970993889572
168.352,-43.935,0.1014,-0.0266,6.29711676478509E-19,10,4.21788,-1.14122,0.022519375699124
168.558,-43.846,-0.0188,0.0027,7.45554312206704E-19,10,-1.72931,0.25589,0.010497991101401
167.324,-46.006,-0.2242,-0.6427,2.10759462487354E-18,50,-3.42319,-23.75144,0.122716245108773
167.375,-45.933,-0.2481,-0.7284,1.97908366385115E-18,50,-0.01273,-28.71436,0.136416564940387
167.452,-45.847,-0.0453,-0.7216,2.03610959340147E-15,88.916,-0.00123,-28.69318,0.004355339864542
167.555,-45.748,0.023,-0.3258,1.50180174964276E-16,85.473,0.00116,-12.0405,0.010153520676956
167.655,-45.652,-0.0033,0.0538,1.39787022708391E-16,85.577,-0.00144,3.85249,0.004227875650609
167.293,-46.127,-0.0014,-0.0007,3.23047903024953E-21,50,-18.10795,-21.04287,0.183840229131983
167.324,-46.281,-0.0005,-0.0001,8.24497464793188E-26,50,-17.72846,-9.60193,0.188549924892261
167.407,-46.435,-0.0001,0,2.87300421482669E-23,50,-20.99196,-8.68446,0.223540025675622
167.433,-46.597,-0.0003,-0.0001,6.03231437202645E-22,50,-15.8758,-21.67874,0.170305377039817
167.391,-46.75,-0.0002,-0.0001,8.06043408724167E-22,71.429,-14.40143,-27.51458,0.135418834761822
168.008,-44.87,0.0049,0.0025,1.77487211827718E-14,84.492,3E-05,0.0016,6.18169559700431E-06
167.893,-44.984,0.0821,-0.1365,4.88221999771906E-16,88.035,0.00047,-0.08859,8.17931520523393E-05
167.83,-45.097,0.1843,-0.237,9.90694795021931E-17,87.503,0.03258,-25.7431,0.009367294894536
167.746,-45.245,0.0938,-0.0848,5.93504292660025E-17,86.431,0.04388,-12.29876,0.008145565065132
167.656,-45.402,-0.0134,0.0132,6.09046072907335E-17,86.58,-0.01411,3.74255,0.003207121504086
167.972,-45.776,-0.4147,-0.5769,3.50716172742593E-19,40,-0.09285,-4.14193,0.03461236115648
167.951,-45.84,0.0144,-0.0383,5.65077485100857E-16,80,0.00322,-0.28136,0.001106497394305
167.982,-45.634,0.0265,0.016,1.60915811629075E-19,40,4.27517,4.41872,0.058586336456712
167.982,-45.689,-0.1073,-0.0795,8.4606430732962E-19,40,-7.01364,-8.85168,0.09094459177291
167.983,-45.726,-0.1813,-0.1389,2.98116780982094E-19,40,-13.12179,-17.14079,0.147718841314113
168.249,-45.637,-0.058,-0.2431,1.12954094368359E-17,80,-0.19701,-25.28616,0.036787550058875
168.212,-45.683,0.2239,-0.2316,1.08703555334489E-18,67.942,1.75057,-30.49858,0.089125990377049
168.162,-45.715,0.2379,-0.169,4.42670703762399E-19,40,12.38933,-21.46827,0.15436003390635
168.092,-45.736,0.2761,-0.0733,5.26977571399302E-19,40,17.94148,-8.11278,0.180443731579408
168.016,-45.742,0.2215,-0.052,4.35387172944414E-19,40,15.20961,-6.08983,0.160681163243648
168.275,-45.588,-0.0552,-0.0874,2.99289099662671E-19,55.435,-4.59927,-31.67763,0.135984067546737
168.296,-45.552,-0.042,-0.0985,6.09545330222422E-19,71.356,-0.70066,-30.84511,0.076179180801798
168.322,-45.512,-0.0183,-0.0556,5.75807460895796E-18,79.871,-0.17003,-15.30334,0.0266656877885
168.354,-45.468,0.0025,0.0098,1.44828913259743E-18,80,0.04579,5.84702,0.012982041536135
168.299,-45.991,0.0085,0.0017,1.40274357645536E-22,40,8.70845,3.02895,0.104010283662683
168.278,-45.918,-0.0438,-0.0297,1.41547809666087E-19,40,-10.51712,-12.13512,0.12168286473393
168.275,-45.845,-0.0797,-0.0817,2.51385014175427E-19,40,-7.79939,-22.45341,0.139855975762322
168.298,-45.792,0.0982,-0.1006,8.89217860064771E-19,79.193,2.21998,-34.39178,0.050881910019192
168.333,-45.766,0.0592,-0.0838,3.76706144954033E-18,80,0.93128,-23.20063,0.035672234302577
168.336,-45.726,-0.1471,-0.0448,3.12071696833758E-19,40,-5.07869,-11.30554,0.088504777436078
168.306,-45.675,-0.1042,-0.0188,2.4886409617353E-21,40,-23.38258,-7.20046,0.234269674584823
168.278,-45.628,-0.0806,-0.0284,2.45503385036368E-19,40,-13.98447,-8.39805,0.14518281908884
169.108,-44.758,0.1098,-0.181,4.65322166921317E-19,52.936,7.38764,-31.56601,0.14827801770026
169.071,-44.799,0.1531,-0.1611,4.86003335749154E-19,48.415,11.19345,-26.07109,0.155640226595758
169.023,-44.851,0.1759,-0.1504,3.14124693033848E-19,40,7.49658,-27.30652,0.155714693863481
168.974,-44.917,0.2289,-0.1759,1.77601470628025E-18,74.731,2.05609,-30.24114,0.064148599888979
168.933,-44.986,-0.0933,-0.1755,1.08029266250605E-17,80,-0.57565,-24.99186,0.036793731361717
